X1,idcomposite,nom_agglocomposite,province,pays,year,nb_pub,discipline,pop2012,ec_dads_etp_2014,label_ds,label_dsh,label_d,city_label
543,AAPOLY5541,ALBI,NA,FRANCE,2014,16.25,D4,276192,Under_NDA,Chemistry,Chem,Chemistry,ALBI
544,AAPOLY6895,LE-PUY-EN-VELAY,NA,FRANCE,2014,0.791666666666667,D4,94155,Under_NDA,Chemistry,Chem,Chemistry,LE-PUY
545,AAPOLY6444,FREJUS,NA,FRANCE,2014,0,D4,286102,Under_NDA,Chemistry,Chem,Chemistry,FREJUS
546,AAPOLY7244,MONTOLDRE,NA,FRANCE,2014,0,D4,163908,Under_NDA,Chemistry,Chem,Chemistry,NA
547,AAPOLY7524,PRIGONRIEUX,NA,FRANCE,2014,0,D4,74433,NA,Chemistry,Chem,Chemistry,NA
548,AAPOLY5545,ALES,NA,FRANCE,2014,18.3833333333333,D4,237989,Under_NDA,Chemistry,Chem,Chemistry,ALES
549,AAPOLY5657,AUXERRE,NA,FRANCE,2014,0,D4,115267,Under_NDA,Chemistry,Chem,Chemistry,AUXERRE
550,AAPOLY6957,LIMOGES,NA,FRANCE,2014,46.425,D4,343229,Under_NDA,Chemistry,Chem,Chemistry,LIMOGES
551,AAPOLY6264,DANGE-SAINT-ROMAIN,NA,FRANCE,2014,0,D4,52777,NA,Chemistry,Chem,Chemistry,NA
552,AAPOLY6780,LA-ROCHE-SUR-YON,NA,FRANCE,2014,0.166666666666667,D4,293960,Under_NDA,Chemistry,Chem,Chemistry,NA
553,AAPOLY6524,GRAMAT,NA,FRANCE,2014,0.666666666666667,D4,73840,NA,Chemistry,Chem,Chemistry,NA
554,AAPOLY7471,POINTE-A-PITRE,GUADELOUPE,FRANCE,2014,1.66666666666667,D4,284928,NA,Chemistry,Chem,Chemistry,NA
555,AAPOINT5559,ANCENIS,NA,FRANCE,2014,0,D4,7504,NA,Chemistry,Chem,Chemistry,NA
556,AAPOLY6753,LANNION,NA,FRANCE,2014,8.85277777777778,D4,220174,Under_NDA,Chemistry,Chem,Chemistry,LANNION
557,AAPOLY6329,EGLETONS,NA,FRANCE,2014,0.5,D4,55616,NA,Chemistry,Chem,Chemistry,NA
558,AAPOLY6166,COMPIEGNE,NA,FRANCE,2014,32.7261904761905,D4,530527,Under_NDA,Chemistry,Chem,Chemistry,COMPIEGNE
559,AAPOLY6370,EVREUX,NA,FRANCE,2014,1.85,D4,312640,Under_NDA,Chemistry,Chem,Chemistry,NA
560,AAPOLY7389,PAIMPONT,NA,FRANCE,2014,0,D4,205156,NA,Chemistry,Chem,Chemistry,NA
561,AAPOLY6777,LA-ROCHELLE,NA,FRANCE,2014,16.5833333333333,D4,344430,Under_NDA,Chemistry,Chem,Chemistry,LA-ROCHELLE
562,AAPOINT7567,REDON,NA,FRANCE,2014,0,D4,9306,NA,Chemistry,Chem,Chemistry,REDON
563,AAPOLY7004,LORIENT,NA,FRANCE,2014,17.0092948717949,D4,350305,Under_NDA,Chemistry,Chem,Chemistry,LORIENT
564,AAPOLY8106,TOULON,NA,FRANCE,2014,15.0694444444444,D4,613853,Under_NDA,Chemistry,Chem,Chemistry,TOULON
