X1,idcomposite,nom_agglocomposite,province,pays,year,nb_pub,discipline,pop2012,ec_dads_etp_2014,label_ds,label_dsh,label_d,city_label
522,AAPOLY7868,SAINT-PIERRE-LES-NEMOURS,NA,FRANCE,2014,0.833333333333333,D4,82607,NA,Chemistry,Chem,Chemistry,NA
523,AAPOLY6285,DIGNE-LES-BAINS,NA,FRANCE,2014,1.25,D4,36227,Under_NDA,Chemistry,Chem,Chemistry,DIGNE
524,AAPOLY8230,VESOUL,NA,FRANCE,2014,0,D4,27605,Under_NDA,Chemistry,Chem,Chemistry,VESOUL
525,AAPOLY7330,NOUMEA,NEW-CALEDONIA,FRANCE,2014,1.19444444444444,D4,175221.5,NA,Chemistry,Chem,Chemistry,NOUMEA
526,AAPOLY5967,CARCASSONNE,NA,FRANCE,2014,0,D4,205457,Under_NDA,Chemistry,Chem,Chemistry,CARCASSONNE
527,AAPOLY8303,VILLIERS-EN-BOIS,NA,FRANCE,2014,0,D4,186122,Under_NDA,Chemistry,Chem,Chemistry,NA
528,AAPOLY6426,FONT-ROMEU,NA,FRANCE,2014,7.64444444444444,D4,24782,NA,Chemistry,Chem,Chemistry,FT-ROMEU
529,AAPOLY7363,ORLEANS,NA,FRANCE,2014,72.1585317460318,D4,454695,Under_NDA,Chemistry,Chem,Chemistry,ORLEANS
530,AAPOLY7405,PAU,NA,FRANCE,2014,51.5261904761905,D4,433429,Under_NDA,Chemistry,Chem,Chemistry,PAU
531,AAPOLY5937,CAHORS,NA,FRANCE,2014,0.166666666666667,D4,73996,NA,Chemistry,Chem,Chemistry,CAHORS
532,AAPOLY10630,RHEINMUNSTER,NA,FRANCE,2014,2.7,D4,202077,NA,Chemistry,Chem,Chemistry,NA
533,AAPOLY6547,GUADELOUPE,NA,FRANCE,2014,0,D4,122919,NA,Chemistry,Chem,Chemistry,NA
534,AAPOLY7417,PERONNE,NA,FRANCE,2014,1.08333333333333,D4,101651,Under_NDA,Chemistry,Chem,Chemistry,PERONNE
535,AAPOLY6410,FLORAC,NA,FRANCE,2014,0,D4,24345,NA,Chemistry,Chem,Chemistry,FLORAC
536,AAPOLY6028,CHALONS-SUR-MARNE,NA,FRANCE,2014,1.25,D4,81127,Under_NDA,Chemistry,Chem,Chemistry,NA
537,AAPOLY6060,CHARLEVILLE-MEZIERES,NA,FRANCE,2014,0.583333333333333,D4,163942,Under_NDA,Chemistry,Chem,Chemistry,CHARLEVILLE
538,AAPOLY6794,LA-TREMBLADE,NA,FRANCE,2014,0,D4,129199,NA,Chemistry,Chem,Chemistry,NA
539,AAPOLY5713,BASTIA,NA,FRANCE,2014,0.166666666666667,D4,71038,Under_NDA,Chemistry,Chem,Chemistry,NA
540,AAPOLY7704,SAINT-DENIS,REUNION,FRANCE,2014,0.777777777777778,D4,626378,NA,Chemistry,Chem,Chemistry,NA
541,AAPOLY6748,LANGON,NA,FRANCE,2014,0,D4,55913,NA,Chemistry,Chem,Chemistry,NA
542,AAPOLY7206,MONT-DE-MARSAN,NA,FRANCE,2014,0.166666666666667,D4,151857,Under_NDA,Chemistry,Chem,Chemistry,NA
